AGI,mRNA,description
AT1G01010,AT1G01010.1,NAC domain containing protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:839580]
AT1G01020,AT1G01020.1,ARV1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839569]
AT1G01030,AT1G01030.1,AP2/B3-like transcriptional factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:839321]
AT1G01040,AT1G01040.2,dicer-like 1 [Source:NCBI gene (formerly Entrezgene);Acc:839574]
AT1G01046,AT1G01046.1,ath-MIR838 [Source:miRBase;Acc:MI0005394]
AT1G01050,AT1G01050.1,pyrophosphorylase 1 [Source:NCBI gene (formerly Entrezgene);Acc:839579]
AT1G01060,AT1G01060.1,Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839341]
AT1G01070,AT1G01070.1,nodulin MtN21 /EamA-like transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:839550]
AT1G01073,AT1G01073.1,
AT1G01080,AT1G01080.2,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:839463]
AT1G01090,AT1G01090.1,pyruvate dehydrogenase E1 alpha [Source:NCBI gene (formerly Entrezgene);Acc:839429]
AT1G01100,AT1G01100.1,60S acidic ribosomal protein family [Source:NCBI gene (formerly Entrezgene);Acc:839410]
AT1G01110,AT1G01110.2,IQ-domain 18 [Source:NCBI gene (formerly Entrezgene);Acc:839394]
AT1G01115,AT1G01115.1,
AT1G01120,AT1G01120.1,3-ketoacyl-CoA synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:839395]
AT1G01130,AT1G01130.1,CBL-interacting Serine/Threonine-kinase [Source:NCBI gene (formerly Entrezgene);Acc:839359]
AT1G01140,AT1G01140.3,CBL-interacting protein kinase 9 [Source:NCBI gene (formerly Entrezgene);Acc:839349]
AT1G01150,AT1G01150.1,Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839294]
AT1G01160,AT1G01160.2,GRF1-interacting factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:839278]
AT1G01170,AT1G01170.1,ozone-responsive stress-like protein (DUF1138) [Source:NCBI gene (formerly Entrezgene);Acc:839263]
AT1G01180,AT1G01180.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839239]
AT1G01183,AT1G01183.1,ath-MIR165a [Source:miRBase;Acc:MI0000199]
AT1G01190,AT1G01190.1,"cytochrome P450, family 78, subfamily A, polypeptide 8 [Source:NCBI gene (formerly Entrezgene);Acc:839233]"
AT1G01200,AT1G01200.1,RAB GTPase homolog A3 [Source:NCBI gene (formerly Entrezgene);Acc:839493]
AT1G01210,AT1G01210.1,"DNA-directed RNA polymerase, subunit M, archaeal [Source:NCBI gene (formerly Entrezgene);Acc:839481]"
AT1G01220,AT1G01220.1,L-fucokinase/GDP-L-fucose pyrophosphorylase [Source:NCBI gene (formerly Entrezgene);Acc:839420]
AT1G01225,AT1G01225.1,NC domain-containing protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839358]
AT1G01230,AT1G01230.1,ORMDL family protein [Source:NCBI gene (formerly Entrezgene);Acc:839331]
AT1G01240,AT1G01240.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:839274]
AT1G01250,AT1G01250.1,Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839322]
