Chr1:3631-5899	AT1G01010.1
Chr1:5928-8737	AT1G01020.1
Chr1:11649-13714	AT1G01030.1
Chr1:11897-11976	AT1TE00010
Chr1:16883-17009	AT1TE00020
Chr1:17024-18924	AT1TE00025
Chr1:18331-18642	AT1TE00030
Chr1:23416-31120	AT1G01040.2
Chr1:28500-28706	AT1G01046.1
Chr1:31170-33153	AT1G01050.1
Chr1:33666-37840	AT1G01060.1
Chr1:38752-40944	AT1G01070.1
Chr1:44677-44787	AT1G01073.1
Chr1:45296-47019	AT1G01080.2
Chr1:47485-49286	AT1G01090.1
Chr1:50090-51108	AT1G01100.1
Chr1:52239-54692	AT1G01110.2
Chr1:55676-56576	AT1TE00150
Chr1:56624-56740	AT1G01115.1
Chr1:57269-59167	AT1G01120.1
Chr1:61905-63811	AT1G01130.1
Chr1:64167-67625	AT1G01140.3
Chr1:70115-72138	AT1G01150.1
Chr1:72357-74096	AT1G01160.2
Chr1:73931-74737	AT1G01170.1
Chr1:75583-76758	AT1G01180.1
Chr1:76844-77500	AT1TE00220
Chr1:78288-78785	AT1TE00225
Chr1:78932-79032	AT1G01183.1
Chr1:83045-84864	AT1G01190.1
Chr1:86515-88213	AT1G01200.1
Chr1:88898-89745	AT1G01210.1
Chr1:91376-95651	AT1G01220.1
Chr1:95987-97407	AT1G01225.1
Chr1:97456-99240	AT1G01230.1
Chr1:99922-101834	AT1G01240.1
Chr1:104491-105330	AT1G01250.1
Chr1:109032-111609	AT1G01260.1
Chr1:111890-111961	AT1G01270.1
Chr1:112263-113947	AT1G01280.1
Chr1:114286-115549	AT1G01290.1
Chr1:116943-118764	AT1G01300.1
Chr1:119397-119997	AT1G01305.1
Chr1:120154-121130	AT1G01310.1
Chr1:121124-130570	AT1G01320.1
Chr1:132330-135831	AT1G01340.2
Chr1:136124-138162	AT1G01350.1
Chr1:138513-139568	AT1G01355.1
Chr1:141971-143183	AT1G01360.1
Chr1:143564-145650	AT1G01370.1
Chr1:147153-147942	AT1G01380.1
Chr1:148120-149806	AT1G01390.1
Chr1:150689-152210	AT1G01400.1
Chr1:153113-154198	AT1G01410.1
Chr1:154331-154418	AT1TE00470
Chr1:154492-156011	AT1G01420.1
Chr1:156801-158655	AT1G01430.1
Chr1:159856-162572	AT1G01440.1
Chr1:163419-164576	AT1G01448.3
Chr1:163431-166239	AT1G01448.1
Chr1:163432-164687	AT1G01448.2
Chr1:164105-165517	AT1G01450.1
Chr1:166618-167842	AT1G01453.2
Chr1:168723-171165	AT1G01460.1
Chr1:172146-172948	AT1G01470.1
Chr1:173251-173466	AT1G01471.1
Chr1:175782-178400	AT1G01480.1
Chr1:180120-182358	AT1G01490.1
Chr1:185133-186923	AT1G01500.1
Chr1:187211-190056	AT1G01510.1
Chr1:190596-192139	AT1G01520.1
Chr1:192640-193670	AT1G01530.1
Chr1:193674-194263	AT1TE00600
Chr1:194264-194300	AT1TE00605
Chr1:194301-194336	AT1TE00610
Chr1:195780-198684	AT1G01540.2
Chr1:199639-201775	AT1G01550.1
Chr1:202136-204189	AT1G01560.2
Chr1:205176-207435	AT1G01570.1
Chr1:208030-208051	AT1TE00660
Chr1:208052-208550	AT1TE00665
Chr1:208551-209163	AT1TE00670
Chr1:209395-213041	AT1G01580.1
Chr1:213762-214159	AT1TE00680
Chr1:214229-217304	AT1G01590.1
Chr1:218994-221286	AT1G01600.1
Chr1:221691-224340	AT1G01610.1
Chr1:225665-227302	AT1G01620.1
Chr1:229013-230917	AT1G01630.1
Chr1:230994-232508	AT1G01640.1
Chr1:232841-237817	AT1G01650.1
Chr1:240057-242608	AT1G01660.1
Chr1:242843-245988	AT1G01670.1
Chr1:246411-248367	AT1G01680.1
Chr1:249141-252462	AT1G01690.1
Chr1:252947-254495	AT1G01695.1
Chr1:255712-256074	AT1TE00820
Chr1:256075-256920	AT1TE00825
Chr1:256921-256967	AT1TE00830
Chr1:257687-257709	AT1TE00835
Chr1:257710-258629	AT1TE00840
Chr1:258630-258712	AT1TE00845
Chr1:259495-261474	AT1G01700.1
Chr1:262828-267771	AT1G01710.1
Chr1:268330-269819	AT1G01720.1
Chr1:269792-270775	AT1G01725.1
Chr1:270956-272061	AT1G01730.1
Chr1:272111-274569	AT1G01740.1
Chr1:275366-276310	AT1G01750.1
Chr1:276266-278448	AT1G01760.1
Chr1:278615-282891	AT1G01770.1
Chr1:282761-284245	AT1G01780.1
Chr1:284610-291094	AT1G01790.1
Chr1:293342-295040	AT1G01800.1
Chr1:295221-295859	AT1G01810.1
Chr1:296001-298120	AT1G01820.1
Chr1:298535-300846	AT1G01830.2
Chr1:303537-304358	AT1G01840.1
Chr1:304133-306287	AT1G01860.1
Chr1:306384-306456	AT1G01870.1
Chr1:306480-309109	AT1G01880.1
Chr1:309275-309347	AT1G01890.1
Chr1:309296-309351	AT1TE01010
Chr1:310316-313130	AT1G01900.1
Chr1:313215-315902	AT1G01910.1
Chr1:316187-319644	AT1G01920.1
Chr1:319836-322860	AT1G01930.1
Chr1:323027-324917	AT1G01940.1
Chr1:325379-330619	AT1G01950.3
Chr1:330588-337582	AT1G01960.1
Chr1:338291-340077	AT1G01970.1
Chr1:340172-341999	AT1G01980.1
Chr1:343166-344341	AT1G01990.1
Chr1:345812-347592	AT1G02000.1
Chr1:347891-352480	AT1G02010.1
Chr1:349928-349969	AT1TE01140
Chr1:349972-350037	AT1TE01145
Chr1:352637-354969	AT1G02020.1
Chr1:354368-354750	AT1TE01155
Chr1:355321-357258	AT1G02030.1
Chr1:358104-359078	AT1G02040.1
Chr1:359117-360518	AT1G02050.1
Chr1:360918-363094	AT1G02060.1
Chr1:365209-367340	AT1G02065.1
Chr1:370257-370967	AT1G02070.1
Chr1:372064-372210	AT1G02074.1
Chr1:373335-386847	AT1G02080.1
Chr1:387277-389647	AT1G02090.1
Chr1:389823-392811	AT1G02100.3
Chr1:392831-395528	AT1G02110.1
Chr1:395761-399897	AT1G02120.1
Chr1:400035-401882	AT1G02130.1
Chr1:402693-402961	AT1G02136
Chr1:403190-404456	AT1G02140.1
Chr1:404600-408619	AT1G02145.3
Chr1:408622-410611	AT1G02150.1
Chr1:410748-411597	AT1G02160.2
Chr1:411779-413554	AT1G02170.1
Chr1:413522-414645	AT1G02180.1
Chr1:415079-418010	AT1G02190.1
Chr1:418748-422258	AT1G02205.3
Chr1:422674-424055	AT1TE01370
Chr1:427548-427811	AT1G02210.1
Chr1:428814-430647	AT1G02220.1
Chr1:431310-431469	AT1TE01390
Chr1:431474-431916	AT1TE01395
Chr1:431917-432073	AT1TE01400
Chr1:432995-433837	AT1TE01405
Chr1:433031-433819	AT1G02228.1
Chr1:435174-436776	AT1G02230.1
Chr1:437951-439559	AT1G02250.1
Chr1:440441-442877	AT1G02260.1
Chr1:443149-446235	AT1G02270.1
Chr1:448463-450425	AT1G02280.1
Chr1:450527-452737	AT1G02290.1
Chr1:453288-455463	AT1G02300.1
Chr1:455688-458164	AT1G02305.1
Chr1:458133-460696	AT1G02310.1
Chr1:460800-461652	AT1TE01490
Chr1:461828-461974	AT1G02320.1
Chr1:462075-463612	AT1G02330.1
Chr1:463855-464924	AT1G02335.1
Chr1:465718-467844	AT1G02340.1
Chr1:469818-470693	AT1G02350.1
Chr1:471990-473160	AT1G02360.1
Chr1:474081-474176	AT1TE01530
Chr1:474500-476511	AT1G02370.1
Chr1:477000-478971	AT1G02380.1
Chr1:480852-483292	AT1G02390.1
Chr1:483764-483919	AT1G02391.1
Chr1:486801-489577	AT1G02400.1
Chr1:489979-490505	AT1G02405.1
Chr1:490925-492926	AT1G02410.1
Chr1:493683-495158	AT1G02420.1
Chr1:495050-496062	AT1G02430.1
Chr1:496586-497479	AT1G02440.1
Chr1:497976-498516	AT1G02450.1
Chr1:499077-499134	AT1TE01610
Chr1:499135-501371	AT1TE01615
Chr1:501372-501635	AT1TE01620
Chr1:501636-501971	AT1TE01625
Chr1:504673-507204	AT1G02460.1
Chr1:511765-513611	AT1G02470.2
Chr1:512671-512692	AT1TE01660
Chr1:512693-513136	AT1TE01665
Chr1:513843-515404	AT1G02475.1
Chr1:515494-515566	AT1G02480.1
Chr1:516618-516734	AT1G02490.1
Chr1:518251-520437	AT1G02500.1
Chr1:520498-521668	AT1G02510.1
Chr1:523651-528745	AT1G02520.1
Chr1:529161-529576	AT1TE01710
Chr1:529795-534677	AT1G02530.1
Chr1:534827-535699	AT1G02540.1
Chr1:536483-537211	AT1G02550.1
Chr1:537238-537593	AT1TE01740
Chr1:537860-540109	AT1G02560.1
Chr1:540269-540416	AT1TE01745
Chr1:540417-540985	AT1TE01750
Chr1:540986-541195	AT1TE01755
Chr1:541335-542240	AT1G02570.1
Chr1:543110-544007	AT1G02575.1
Chr1:543981-544642	AT1TE01760
Chr1:544783-549202	AT1G02580.1
Chr1:552138-552761	AT1G02590.1
Chr1:552640-552711	AT1G02600.1
Chr1:553050-555994	AT1G02610.1
Chr1:557092-557986	AT1G02620.1
Chr1:559302-559557	AT1TE01810
Chr1:560610-562424	AT1G02630.1
Chr1:564205-567769	AT1G02640.1
Chr1:568704-570418	AT1G02650.1
Chr1:571955-574981	AT1G02660.1
Chr1:576046-580299	AT1G02670.1
Chr1:580625-582310	AT1G02680.1
Chr1:582413-582922	AT1G02681
Chr1:584260-587219	AT1G02690.2
Chr1:587269-587326	AT1TE01900
Chr1:587327-587409	AT1TE01905
Chr1:587410-588054	AT1TE01910
Chr1:588055-588182	AT1TE01915
Chr1:588183-588231	AT1TE01920
Chr1:588329-589480	AT1G02700.1
Chr1:589706-589996	AT1G02710.1
Chr1:591826-594236	AT1G02720.1
Chr1:594573-598657	AT1G02730.1
Chr1:599416-602038	AT1G02740.1
Chr1:602497-604292	AT1G02750.1
Chr1:604400-604453	AT1TE01970
Chr1:604402-604474	AT1G02760.1
Chr1:604873-606693	AT1G02770.1
Chr1:606710-607198	AT1TE01975
Chr1:607199-607224	AT1TE01980
Chr1:607808-609465	AT1G02780.1
Chr1:609513-610347	AT1TE01985
Chr1:610391-612324	AT1G02790.1
Chr1:613216-616191	AT1G02800.1
Chr1:618265-620480	AT1G02810.1
Chr1:620678-621289	AT1G02813.1
Chr1:621461-622469	AT1G02816.1
Chr1:623765-624475	AT1G02820.1
Chr1:625145-625608	AT1G02830.1
Chr1:626741-629819	AT1G02840.1
Chr1:630505-633259	AT1G02850.4
Chr1:634246-634464	AT1TE02060
Chr1:635144-637262	AT1G02860.1
Chr1:637214-638677	AT1G02870.1
Chr1:638900-639129	AT1TE02070
Chr1:639130-641133	AT1TE02075
Chr1:641277-641420	AT1TE02080
Chr1:642752-644539	AT1G02880.3
Chr1:645092-651907	AT1G02890.1
Chr1:653765-654343	AT1G02900.1
Chr1:655577-658148	AT1G02910.1
Chr1:658657-659771	AT1G02920.1
Chr1:661177-662427	AT1G02930.1
Chr1:663079-664128	AT1G02940.1
Chr1:664383-664538	AT1TE02160
Chr1:664539-664905	AT1TE02165
Chr1:665168-666452	AT1G02950.2
Chr1:665354-666367	AT1G02952.1
Chr1:666872-669837	AT1G02960.2
Chr1:669867-670631	AT1TE02175
Chr1:671661-672814	AT1G02965.1
Chr1:672779-673137	AT1TE02180
Chr1:673306-676378	AT1G02970.1
Chr1:676495-677066	AT1TE02190
Chr1:677067-677162	AT1TE02195
Chr1:677163-677290	AT1TE02200
Chr1:677869-681310	AT1G02980.1
Chr1:681396-687315	AT1G02990.3
Chr1:687890-692560	AT1G03000.1
Chr1:693480-696382	AT1G03010.1
Chr1:696359-696446	AT1TE02260
Chr1:696447-697372	AT1TE02265
Chr1:697387-697951	AT1TE02270
Chr1:697952-698088	AT1TE02275
Chr1:698207-698515	AT1G03020.1
Chr1:699121-699246	AT1G03022.1
Chr1:701478-703864	AT1G03030.1
Chr1:703906-706631	AT1G03040.1
Chr1:707726-710041	AT1G03050.1
Chr1:710018-711803	AT1G03055.1
Chr1:712473-726891	AT1G03060.1
Chr1:726695-726837	AT1TE02360
Chr1:728985-729267	AT1TE02365
Chr1:729935-731557	AT1G03070.1
Chr1:731611-738056	AT1G03080.1
Chr1:739679-744184	AT1G03090.2
Chr1:743885-746479	AT1G03100.1
Chr1:747197-748057	AT1G03103.1
Chr1:748102-749034	AT1G03106.1
Chr1:749246-751963	AT1G03110.1
Chr1:752271-753140	AT1G03120.1
Chr1:753307-754198	AT1G03130.1
Chr1:754371-756303	AT1G03140.1
Chr1:756414-758612	AT1G03150.1
Chr1:758410-758534	AT1TE02460
Chr1:758535-760505	AT1TE02465
Chr1:760506-760660	AT1TE02470
Chr1:761282-766153	AT1G03160.1
Chr1:769632-770684	AT1G03170.1
Chr1:773411-775344	AT1G03180.1
Chr1:775527-780027	AT1G03190.1
Chr1:780602-781285	AT1G03200.1
Chr1:781194-782748	AT1TE02540
Chr1:782749-782943	AT1TE02545
Chr1:782944-782971	AT1TE02550
Chr1:782948-784240	AT1G03210.1
